"Time","Artificial intelligence"
"2019-12-01",3
"2020-01-01",3
"2020-02-01",3
"2020-03-01",3
"2020-04-01",3
"2020-05-01",3
"2020-06-01",3
"2020-07-01",3
"2020-08-01",3
"2020-09-01",3
"2020-10-01",3
"2020-11-01",2
"2020-12-01",3
"2021-01-01",3
"2021-02-01",3
"2021-03-01",3
"2021-04-01",3
"2021-05-01",3
"2021-06-01",3
"2021-07-01",3
"2021-08-01",3
"2021-09-01",3
"2021-10-01",3
"2021-11-01",4
"2021-12-01",4
"2022-01-01",4
"2022-02-01",4
"2022-03-01",4
"2022-04-01",4
"2022-05-01",4
"2022-06-01",5
"2022-07-01",4
"2022-08-01",5
"2022-09-01",6
"2022-10-01",6
"2022-11-01",6
"2022-12-01",10
"2023-01-01",10
"2023-02-01",12
"2023-03-01",14
"2023-04-01",18
"2023-05-01",21
"2023-06-01",22
"2023-07-01",21
"2023-08-01",20
"2023-09-01",20
"2023-10-01",25
"2023-11-01",25
"2023-12-01",24
"2024-01-01",24
"2024-02-01",27
"2024-03-01",27
"2024-04-01",28
"2024-05-01",30
"2024-06-01",28
"2024-07-01",25
"2024-08-01",29
"2024-09-01",32
"2024-10-01",36
"2024-11-01",37
"2024-12-01",38
"2025-01-01",40
"2025-02-01",46
"2025-03-01",46
"2025-04-01",47
"2025-05-01",45
"2025-06-01",49
"2025-07-01",52
"2025-08-01",66
"2025-09-01",100